Título,Referenciado en,Agregado por,,,,,,
"Espinosa Medrano, Juan de. Apologético en favor de don Luis de Góngora. Ed. José Carlos González Boixo. Roma: Bulzoni, 1997.",Instable puente,Juan Vitulli,,,,,,
"Espinosa Medrano, Juan de. Apologético en favor de Don Luis de Góngora. Ed. Luis Jaime Cisneros. Li-ma: Universidad de San Martín de Porres, 2005.",Instable puente,Juan Vitulli,,,,,,
"Espinosa Medrano, Juan de. Apologético. Ed. Augusto Tamayo Vargas. Caracas: Editorial Ayacucho,1982.",Instable puente,Juan Vitulli,,,,,,
"Espinosa Medrano, Juan de. La novena maravilla nuevamente hallada en los panegíricos sagrados que en varias festividades dijo el señor Arcediano don Juan de Espinosa Medrano, primer canónigo magistral, tesorero, chantre y finalmente arcediano de la Catedral del Cusco en los Reinos del Perú. Presentólos con fineza al orden del gran Patriarca Santo Domingo, el M Agustín Cortez de la Cruz, capellán real de la gran ciudad del Cusco, discípulo del Autor que los saca a luz y los imprime a su costa. Valladolid: Joseph de Rueda, 1695.",Instable puente,Juan Vitulli,,,,,,
"Fernández de Oviedo y Valdés, Gonzalo. La historia general y natural de Las Indias. Madrid: Real Academia de la Historia, 1854.",Espectros y conjuras; Food Studies,Carlos Jáuregui; Vanesa Miseres,,,,,,
"Fuentes, Manuel Atanasio. Guía de domicilio de Lima para el año de 1864. Lima: imprenta del autor, 1863. https://catalog.hathitrust.org/Record/009833590.",Food Studies,Vanesa Miseres,,,,,,
"Garcilaso de la Vega, El Inca. Comentarios reales. 1609. Reprint, Mexico City: Porrúa, 1998",Food Studies,Vanesa Miseres,,,,,,
"González Prada, Manuel. Páginas libres; Horas de lucha. Caracas: Biblioteca Ayacucho, 1976.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Gorriti, Juana Manuela. Cocina ecléctica. Buenos Aires: Lajouane, 1890.",Food Studies,Vanesa Miseres,,,,,,
"Gorriti, Juana Manuela. Ficciones patrias. Ed. Graciela Batticoure. Buenos Aires: Clari",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Gorriti, Juana Manuela. La tierra natal. Buenos Aires: F. Lajouane, 1889.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Gorriti, Juana Manuela. Misceláneas. Buenos Aires: Imprenta de M. Biedma, 1878.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Gorriti, Juana Manuela. Peregrinaciones de una alma triste. Buenos Aires: Stockcero, 2006.",Mujeres en tránsito,Vanesa Miseres,,,,,,
